track_id	assay	group	mode	url	filename
CTCF__imputed__Lung	CTCF	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Lung.bigWig	average_CTCF_imputed_Lung.bigWig
CTCF__imputed__Lymphoblastoid	CTCF	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Lymphoblastoid.bigWig	average_CTCF_imputed_Lymphoblastoid.bigWig
CTCF__imputed__Mesench	CTCF	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Mesench.bigWig	average_CTCF_imputed_Mesench.bigWig
CTCF__imputed__iPSC	CTCF	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_iPSC.bigWig	average_CTCF_imputed_iPSC.bigWig
DNase-seq__imputed__BloodandT-cell	DNase-seq	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_BloodandT-cell.bigWig	average_DNase-seq_imputed_BloodandT-cell.bigWig
DNase-seq__imputed__Brain	DNase-seq	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Brain.bigWig	average_DNase-seq_imputed_Brain.bigWig
DNase-seq__imputed__Cancer	DNase-seq	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Cancer.bigWig	average_DNase-seq_imputed_Cancer.bigWig
DNase-seq__imputed__Digestive	DNase-seq	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Digestive.bigWig	average_DNase-seq_imputed_Digestive.bigWig
DNase-seq__imputed__ESC	DNase-seq	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_ESC.bigWig	average_DNase-seq_imputed_ESC.bigWig
DNase-seq__imputed__Endocrine	DNase-seq	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Endocrine.bigWig	average_DNase-seq_imputed_Endocrine.bigWig
DNase-seq__imputed__Endothelial	DNase-seq	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Endothelial.bigWig	average_DNase-seq_imputed_Endothelial.bigWig
DNase-seq__imputed__Epithelial	DNase-seq	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Epithelial.bigWig	average_DNase-seq_imputed_Epithelial.bigWig
DNase-seq__imputed__HSCandB-cell	DNase-seq	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_HSCandB-cell.bigWig	average_DNase-seq_imputed_HSCandB-cell.bigWig
DNase-seq__imputed__Heart	DNase-seq	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Heart.bigWig	average_DNase-seq_imputed_Heart.bigWig
DNase-seq__imputed__Kidney	DNase-seq	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Kidney.bigWig	average_DNase-seq_imputed_Kidney.bigWig
DNase-seq__imputed__Liver	DNase-seq	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Liver.bigWig	average_DNase-seq_imputed_Liver.bigWig
DNase-seq__imputed__Lung	DNase-seq	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Lung.bigWig	average_DNase-seq_imputed_Lung.bigWig
DNase-seq__imputed__Lymphoblastoid	DNase-seq	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Lymphoblastoid.bigWig	average_DNase-seq_imputed_Lymphoblastoid.bigWig
DNase-seq__imputed__Mesench	DNase-seq	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_Mesench.bigWig	average_DNase-seq_imputed_Mesench.bigWig
DNase-seq__imputed__iPSC	DNase-seq	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_DNase-seq_imputed_iPSC.bigWig	average_DNase-seq_imputed_iPSC.bigWig
H2AFZ__imputed__BloodandT-cell	H2AFZ	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_BloodandT-cell.bigWig	average_H2AFZ_imputed_BloodandT-cell.bigWig
